Velocity Time (s),Velocity (m/s),Alt Time (s),Altitude (m)
0,0,0,38969
10.1284,99.4455,6.06734,38993.7
20.3193,198.891,8.99177,38501.5
30.1958,279.896,10.9791,38059.3
33.2591,308.614,12.6666,37576.9
34.3212,312.468,14.0543,37124.6
36.5714,329.182,15.5545,36632.2
38.3211,338.608,16.6048,36169.8
40.0084,348.892,17.8425,35747.6
40.4461,353.179,18.8553,35335.5
41.1329,352.317,19.7557,34853
42.0078,357.459,21.4064,34058.9
44.6313,361.734,23.47,32933.1
46.5681,368.586,27.4094,30912.6
47.6923,369.437,28.985,30188.8
49.1294,375.863,31.0491,28801.5
51.1275,372.85,32.738,27655.5
52.2513,369.842,34.0136,26961.9
53.6245,364.259,35.5518,26208
55.4356,364.249,37.4276,25283.2
57.2458,356.091,39.3037,24247.8
58.4312,345.792,41.1797,23182.3
60.2402,327.34,42.7929,22438.4
61.9864,305.887,44.9691,21222.1
63.1719,296.874,46.7698,20377.7
65.7299,274.559,49.0958,19221.7
68.726,261.247,51.159,18327.1
71.2215,238.503,53.8595,17311.9
73.094,229.487,55.6598,16719
75.9657,220.036,57.0851,16166.1
79.2734,200.719,58.9604,15482.7
83.8929,184.397,60.6855,14990.2
85.2039,180.101,63.9853,14216.4
86.6399,176.662,68.6349,13171.4
88.1383,172.794,73.1341,12357.6
90.1986,167.208,78.3454,11604.2
100.187,137.562,82.1318,11162.3
105.182,126.384,90.0041,10409.3
110.24,120.353,96.0768,9957.64
115.173,110.891,99.9003,9726.91
119.856,105.29,109.121,9255.61
,,115.269,9035.26
,,119.917,8864.98
